iter;num_air;num_per;cost_e;cost_h;cost_prop;time_e;time_h;time_prop;status_e;status_h
41;5;20;17969.62935;17969.62935;1;1.11726594;0.233766079;4.779418574;OPTIMAL;OPTIMAL
42;5;20;17434.53023;17434.53023;1;0.836668015;0.318390131;2.627807627;OPTIMAL;OPTIMAL
43;5;20;18011.33535;20221.0995;1.122687414;0.914280891;0.341969967;2.673570722;OPTIMAL;OPTIMAL
44;5;20;17400.70804;NA;NA;1.100506067;6.405431986;0.171808251;OPTIMAL;INFEASIBLE
45;5;20;10240.1134;10240.1134;1;0.804633856;0.281275988;2.86065605;OPTIMAL;OPTIMAL
46;5;20;12148.14087;12148.14087;1;1.322860003;0.426319122;3.102980686;OPTIMAL;OPTIMAL
47;5;20;20328.55762;20328.55762;1;1.44362402;0.33877182;4.261346234;OPTIMAL;OPTIMAL
48;5;20;5590.537188;5590.537188;1;0.775706053;0.28771019;2.696136877;OPTIMAL;OPTIMAL
49;5;20;11292.05834;11442.05834;1.013283672;0.925498962;0.383871078;2.410962988;OPTIMAL;OPTIMAL
50;5;20;7535.521208;7535.521208;1;1.082101822;0.385293961;2.80850969;OPTIMAL;OPTIMAL
51;5;20;45113.26618;45263.26618;1.003324964;2.452059031;0.579257965;4.233103692;OPTIMAL;OPTIMAL
52;5;20;8123.27602;8243.27602;1.014772365;0.805700064;0.546297789;1.474836766;OPTIMAL;OPTIMAL
53;5;20;15680.9801;15680.9801;1;1.474503994;0.565984011;2.605204328;OPTIMAL;OPTIMAL
54;5;20;11032.81588;11032.81588;1;0.955495834;0.358203173;2.667468932;OPTIMAL;OPTIMAL
55;5;20;13573.52379;13573.52379;1;1.111824036;0.408445835;2.722084399;OPTIMAL;OPTIMAL
56;5;20;22912.62407;22912.62407;1;1.784502983;0.362035036;4.929089191;OPTIMAL;OPTIMAL
57;5;20;16903.17091;16903.17091;1;1.070061922;0.343261003;3.117341939;OPTIMAL;OPTIMAL
58;5;20;23581.8662;27100.94285;1.149228081;1.186553001;0.304524899;3.896407181;OPTIMAL;OPTIMAL
59;5;20;10771.9123;10921.9123;1.013925104;0.916898012;0.395319223;2.319386354;OPTIMAL;OPTIMAL
60;5;20;6667.413265;6667.413265;1;1.245079041;0.364804983;3.412998994;OPTIMAL;OPTIMAL
61;5;20;15581.16221;NA;NA;1.775070906;4.824150801;0.367955103;OPTIMAL;INFEASIBLE
62;5;20;12777.96338;12777.96338;1;1.360001087;0.417326927;3.258838571;OPTIMAL;OPTIMAL
63;5;20;37922.99894;38072.99894;1.003955383;2.260726929;0.937932968;2.410328889;OPTIMAL;OPTIMAL
64;5;20;13890.72025;13890.72025;1;1.118652821;0.461852074;2.422101977;OPTIMAL;OPTIMAL
65;5;20;9058.897257;9058.897257;1;1.517503977;0.353721857;4.290105196;OPTIMAL;OPTIMAL
66;5;20;36102.54643;36342.54643;1.006647731;5.287948847;0.350749969;15.07612062;OPTIMAL;OPTIMAL
67;5;20;8729.082546;9719.082546;1.113413981;1.711598873;0.37114501;4.611671522;OPTIMAL;OPTIMAL
68;5;20;9628.478869;9628.478869;1;0.917566061;0.324250937;2.829802347;OPTIMAL;OPTIMAL
69;5;20;22885.53137;22885.53137;1;1.261004925;0.401791096;3.13845911;OPTIMAL;OPTIMAL
70;5;20;14192.57544;14192.57544;1;1.253456831;0.334854841;3.743284184;OPTIMAL;OPTIMAL
71;5;20;15958.47311;15958.47311;1;1.526865959;0.368271112;4.146037817;OPTIMAL;OPTIMAL
72;5;20;11946.62834;15946.27968;1.334793319;1.954537153;0.33779788;5.786114324;OPTIMAL;OPTIMAL
73;5;20;14444.9628;14444.9628;1;1.20350194;0.319736004;3.764048857;OPTIMAL;OPTIMAL
74;5;20;54753.27508;NA;NA;2.166467905;0.320729017;6.754823507;OPTIMAL;INFEASIBLE
