iter;num_air;num_per;cost;time;status;method
47;5;20;20328.55762;1.44362402;OPTIMAL;Exact
48;5;20;5590.537188;0.775706053;OPTIMAL;Exact
49;5;20;11292.05834;0.925498962;OPTIMAL;Exact
50;5;20;7535.521208;1.082101822;OPTIMAL;Exact
51;5;20;45113.26618;2.452059031;OPTIMAL;Exact
52;5;20;8123.27602;0.805700064;OPTIMAL;Exact
53;5;20;15680.9801;1.474503994;OPTIMAL;Exact
54;5;20;11032.81588;0.955495834;OPTIMAL;Exact
55;5;20;13573.52379;1.111824036;OPTIMAL;Exact
56;5;20;22912.62407;1.784502983;OPTIMAL;Exact
57;5;20;16903.17091;1.070061922;OPTIMAL;Exact
58;5;20;23581.8662;1.186553001;OPTIMAL;Exact
59;5;20;10771.9123;0.916898012;OPTIMAL;Exact
60;5;20;6667.413265;1.245079041;OPTIMAL;Exact
61;5;20;15581.16221;1.775070906;OPTIMAL;Exact
62;5;20;12777.96338;1.360001087;OPTIMAL;Exact
63;5;20;37922.99894;2.260726929;OPTIMAL;Exact
64;5;20;13890.72025;1.118652821;OPTIMAL;Exact
65;5;20;9058.897257;1.517503977;OPTIMAL;Exact
66;5;20;36102.54643;5.287948847;OPTIMAL;Exact
67;5;20;8729.082546;1.711598873;OPTIMAL;Exact
68;5;20;9628.478869;0.917566061;OPTIMAL;Exact
69;5;20;22885.53137;1.261004925;OPTIMAL;Exact
70;5;20;14192.57544;1.253456831;OPTIMAL;Exact
71;5;20;15958.47311;1.526865959;OPTIMAL;Exact
72;5;20;11946.62834;1.954537153;OPTIMAL;Exact
73;5;20;14444.9628;1.20350194;OPTIMAL;Exact
74;5;20;54753.27508;2.166467905;OPTIMAL;Exact
75;5;20;27198.30896;1.702747107;OPTIMAL;Exact
76;5;20;12327.31643;1.012987137;OPTIMAL;Exact
77;5;20;15245.56949;2.540889025;OPTIMAL;Exact
78;5;20;10492.23859;1.168393135;OPTIMAL;Exact
79;5;20;10727.68598;1.270273924;OPTIMAL;Exact
80;5;20;21840.81212;2.264671803;OPTIMAL;Exact
81;5;20;15255.69903;1.202992916;OPTIMAL;Exact
82;5;20;21737.91754;1.177856922;OPTIMAL;Exact
83;5;20;20656.33131;1.318283081;OPTIMAL;Exact
84;5;20;84175.4381;16.54651308;OPTIMAL;Exact
85;5;20;12652.63304;1.176389933;OPTIMAL;Exact
86;5;20;15519.05524;0.982020855;OPTIMAL;Exact
87;5;20;19560.39894;0.862350941;OPTIMAL;Exact
88;5;20;19563.89231;1.658005953;OPTIMAL;Exact
89;5;20;13575.70553;1.300060987;OPTIMAL;Exact
90;5;20;10545.08747;1.182520866;OPTIMAL;Exact
91;5;20;56231.00939;2.773190022;OPTIMAL;Exact
92;5;20;14141.77016;1.148908854;OPTIMAL;Exact
93;5;20;41244.07454;1.465195894;OPTIMAL;Exact
94;5;20;9729.283481;1.140353918;OPTIMAL;Exact
95;5;20;22885.82805;1.171237946;OPTIMAL;Exact
96;5;20;13696.99196;1.122837067;OPTIMAL;Exact
97;5;20;13268.2523;1.125075102;OPTIMAL;Exact
98;5;20;37680.48982;1.737760067;OPTIMAL;Exact
99;5;20;22203.54441;1.001895905;OPTIMAL;Exact
100;5;20;15044.53315;1.506487131;OPTIMAL;Exact
1;5;25;9980.595777;1.840063095;OPTIMAL;Exact
2;5;25;13385.62514;1.684726954;OPTIMAL;Exact
3;5;25;19182.98592;2.736309052;OPTIMAL;Exact
4;5;25;36198.99285;6.454182863;OPTIMAL;Exact
5;5;25;14146.47348;1.462752819;OPTIMAL;Exact
6;5;25;7639.550872;1.434942961;OPTIMAL;Exact
7;5;25;21651.38768;1.611695051;OPTIMAL;Exact
8;5;25;9854.260208;1.771029949;OPTIMAL;Exact
9;5;25;14506.74278;2.935869217;OPTIMAL;Exact
10;5;25;15085.99072;1.253993988;OPTIMAL;Exact
11;5;25;25908.44955;1.164736986;OPTIMAL;Exact
12;5;25;11795.23592;1.837970972;OPTIMAL;Exact
13;5;25;16598.08693;1.342048883;OPTIMAL;Exact
14;5;25;22364.1045;2.272531033;OPTIMAL;Exact
15;5;25;14995.40567;2.687567949;OPTIMAL;Exact
16;5;25;11477.20716;1.30051899;OPTIMAL;Exact
17;5;25;8590.601237;1.306846142;OPTIMAL;Exact
18;5;25;19179.26821;2.156234026;OPTIMAL;Exact
19;5;25;21916.74903;2.274062872;OPTIMAL;Exact
20;5;25;18122.42663;1.439208984;OPTIMAL;Exact
21;5;25;11732.53765;1.237206936;OPTIMAL;Exact
22;5;25;7757.348053;2.487742186;OPTIMAL;Exact
23;5;25;20847.61041;1.527723074;OPTIMAL;Exact
24;5;25;9693.841304;1.228614092;OPTIMAL;Exact
25;5;25;6780.859265;1.233151913;OPTIMAL;Exact
26;5;25;19507.13802;2.114382029;OPTIMAL;Exact
27;5;25;23684.24362;1.197937012;OPTIMAL;Exact
28;5;25;15030.20752;1.30604291;OPTIMAL;Exact
29;5;25;10605.81093;1.306720972;OPTIMAL;Exact
30;5;25;18350.27315;2.120038033;OPTIMAL;Exact
31;5;25;13557.67643;1.25158906;OPTIMAL;Exact
32;5;25;34869.87796;1.329105139;OPTIMAL;Exact
33;5;25;28557.30699;1.531620979;OPTIMAL;Exact
34;5;25;5172.813793;1.204571009;OPTIMAL;Exact
35;5;25;5381.924393;1.791970015;OPTIMAL;Exact
36;5;25;18318.90639;1.822502136;OPTIMAL;Exact
37;5;25;10712.76242;2.025393963;OPTIMAL;Exact
38;5;25;19648.78453;1.489120007;OPTIMAL;Exact
